,City,Cloudiness,Country,Data,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Tura,100,RU,1576616910,95,64.27,64.27,-17.23,4.47
1,Thompson,5,CA,1576616910,68,55.74,55.74,-18.4,3.36
2,Vaini,10,IN,1576616910,79,15.34,15.34,64.85,7.34
3,Sola,100,TZ,1576616911,86,-3.17,-3.17,66.67,4.36
4,Mataura,91,NZ,1576616911,85,-46.19,-46.19,52.0,14.0
5,Mahebourg,20,MU,1576616911,88,-20.41,-20.41,79.0,6.93
6,Punta Arenas,75,CL,1576616911,76,-53.16,-53.16,57.0,14.99
7,Bluff,3,AU,1576616911,66,-23.58,-23.58,73.18,17.2
8,Yellowknife,20,CA,1576616794,73,62.45,62.45,-27.0,3.36
9,Rikitea,100,PF,1576616911,91,-23.12,-23.12,74.7,7.29
10,Rawson,0,AR,1576616912,48,-43.3,-43.3,70.38,3.42
11,Longyearbyen,20,NO,1576616912,71,78.22,78.22,3.2,12.75
12,New Norfolk,75,AU,1576616912,72,-42.78,-42.78,60.8,8.05
13,Kaitangata,88,NZ,1576616912,66,-46.28,-46.28,55.0,14.0
14,Avarua,44,CK,1576616912,74,-21.21,-21.21,80.6,18.34
15,Ushuaia,75,AR,1576616911,62,-54.81,-54.81,59.0,3.36
16,Hami,41,CN,1576616912,83,42.84,42.84,18.77,1.83
17,Hobart,75,AU,1576616673,72,-42.88,-42.88,60.8,8.05
18,Avera,90,US,1576616912,88,33.19,33.19,68.0,8.05
19,Puerto Ayora,75,EC,1576616831,58,-0.74,-0.74,82.4,11.41
20,Hermanus,100,ZA,1576616913,87,-34.42,-34.42,60.01,11.99
21,Castro,90,CL,1576616913,93,-42.48,-42.48,59.0,19.46
22,Khatanga,98,RU,1576616913,97,71.98,71.98,-11.24,4.43
23,Nouadhibou,99,MR,1576616913,60,20.93,20.93,68.0,11.41
24,Ures,0,MX,1576616913,17,30.73,30.73,66.99,5.99
25,Victoria,75,BN,1576616914,88,5.28,5.28,80.6,2.24
26,Hecun,100,CN,1576616914,91,29.94,29.94,45.01,5.75
27,Nemuro,100,JP,1576616914,92,43.32,43.32,40.96,13.09
28,Busselton,81,AU,1576616914,43,-33.64,-33.64,64.99,10.42
29,Vanimo,100,PG,1576616914,85,-2.67,-2.67,79.54,11.41
30,Timra,68,SE,1576616914,92,62.49,62.49,23.0,5.82
31,Mountain Home,1,US,1576616655,55,43.13,43.13,35.6,16.11
32,Atuona,0,PF,1576616915,70,-9.8,-9.8,80.55,15.73
33,Kruisfontein,24,ZA,1576616915,76,-34.0,-34.0,62.96,18.43
34,Georgetown,75,GY,1576616894,70,6.8,6.8,84.2,13.87
35,Te Anau,30,NZ,1576616915,74,-45.41,-45.41,46.45,1.97
36,Nybro,75,SE,1576616915,100,56.75,56.75,44.6,6.93
37,Manaure,40,CO,1576616915,46,11.78,11.78,93.2,12.75
38,Kiunga,100,PG,1576616915,98,-6.12,-6.12,72.73,1.14
39,Dunedin,99,NZ,1576616915,70,-45.87,-45.87,53.01,21.0
40,Butaritari,100,KI,1576616916,75,3.07,3.07,81.73,4.83
41,Poronaysk,100,RU,1576616916,90,49.22,49.22,16.86,6.38
42,Jamestown,50,AU,1576616916,14,-33.21,-33.21,84.34,13.62
43,Adamovka,100,RU,1576616916,95,51.52,51.52,19.27,10.54
44,Opuwo,67,NA,1576616916,60,-18.06,-18.06,70.47,4.25
45,Kabanjahe,40,ID,1576616889,100,3.1,3.1,75.2,4.7
46,Isangel,97,VU,1576616916,85,-19.55,-19.55,78.73,13.4
47,Cape Town,75,ZA,1576616916,77,-33.93,-33.93,66.0,24.16
48,Marawi,39,PH,1576616917,89,8.0,8.0,70.0,7.0
49,Cassilandia,100,BR,1576616707,84,-19.11,-19.11,77.29,2.01
50,Iquitos,75,PE,1576616769,55,-3.75,-3.75,91.4,4.7
51,Saint George,20,GR,1576616917,93,39.45,39.45,51.8,5.82
52,Trelew,16,AR,1576616669,16,-43.25,-43.25,85.39,17.74
53,Tasiilaq,20,GL,1576616917,53,65.61,65.61,21.2,3.36
54,Albany,90,US,1576616908,79,42.65,42.65,30.0,5.82
55,Komsomolskiy,95,RU,1576616918,92,67.55,67.55,14.09,2.28
56,Airai,36,TL,1576616918,71,-8.93,-8.93,66.65,3.36
57,Dhidhdhoo,98,MV,1576616918,77,6.88,6.88,82.09,10.54
58,Suntar,100,RU,1576616918,96,62.16,62.16,-20.38,4.94
59,Kupang,59,ID,1576616918,78,-10.16,-10.16,82.92,2.37
60,Kavieng,61,PG,1576616918,76,-2.57,-2.57,83.05,11.27
61,Jackson,1,US,1576616782,61,43.48,43.48,26.6,5.82
62,Itarema,96,BR,1576616919,71,-2.92,-2.92,80.76,9.26
63,Mega,0,ET,1576616919,63,4.06,4.06,67.15,9.95
64,Hirara,88,JP,1576616919,83,24.8,24.8,75.04,1.57
65,Bredasdorp,100,ZA,1576616919,42,-34.53,-34.53,68.0,12.75
66,Dikson,86,RU,1576616919,96,73.51,73.51,-0.42,4.25
67,Mogadouro,93,PT,1576616919,83,41.34,41.34,38.16,4.54
68,Pevek,100,RU,1576616920,95,69.7,69.7,-2.61,1.32
69,Iwanai,95,JP,1576616920,78,42.97,42.97,32.27,11.52
70,Aykhal,75,RU,1576616920,82,65.95,65.95,-20.2,6.71
71,Boden,0,SE,1576616920,92,65.83,65.83,23.0,3.36
72,Ahipara,72,NZ,1576616920,70,-35.17,-35.17,62.91,27.0
73,Ejido,99,VE,1576616920,93,8.55,8.55,53.4,3.83
74,Dezful,0,IR,1576616920,84,32.38,32.38,53.91,1.72
75,Austin,1,US,1576616459,23,30.27,30.27,55.0,19.46
76,Mayo,40,CA,1576616921,83,63.59,63.59,-7.6,2.06
77,Saint-Philippe,90,CA,1576616921,86,45.36,45.36,28.4,2.24
78,Rome,20,IT,1576616757,82,41.89,41.89,60.01,4.7
79,Portland,90,US,1576616703,92,43.66,43.66,28.0,9.17
80,Freeport,75,BS,1576616682,74,26.54,26.54,82.4,14.99
81,Kenai,75,US,1576616921,70,60.55,60.55,35.01,12.75
82,Narsaq,75,GL,1576616921,25,60.91,60.91,39.2,34.45
83,Iquique,85,CL,1576616922,56,-20.22,-20.22,73.4,12.75
84,Le Pradet,100,FR,1576616922,100,46.44,46.44,46.4,6.93
85,Nikolskoye,75,RU,1576616922,93,59.7,59.7,37.99,4.47
86,Ino,51,JP,1576616922,85,33.55,33.55,56.46,3.36
87,Calvinia,67,ZA,1576616922,72,-31.47,-31.47,51.6,13.31
88,Lalsot,20,IN,1576616922,100,26.56,26.56,46.4,1.88
89,Husavik,21,CA,1576616922,73,50.56,50.56,-6.0,5.01
90,Sorland,75,NO,1576616923,100,67.67,67.67,37.4,2.24
91,Riyadh,40,SA,1576616923,71,24.63,24.63,55.4,5.82
92,Kodiak,1,US,1576616923,79,39.95,39.95,34.0,8.05
93,Tuktoyaktuk,20,CA,1576616923,73,69.44,69.44,-29.2,3.36
94,College,40,US,1576616923,84,64.86,64.86,7.0,4.45
95,Upernavik,100,GL,1576616923,50,72.79,72.79,12.27,7.49
96,Poum,90,MK,1576616923,93,41.28,41.28,39.2,2.24
97,Karaton,20,ID,1576616923,88,-6.34,-6.34,77.0,6.93
98,Sexsmith,75,CA,1576616924,85,55.35,55.35,37.0,2.24
99,Sinnamary,92,GF,1576616924,83,5.38,5.38,79.93,20.92
100,Garden City,1,US,1576616924,55,43.62,43.62,35.6,16.11
101,Piacabucu,27,BR,1576616924,75,-10.41,-10.41,79.16,8.84
102,Bereda,20,ES,1576616924,71,43.27,43.27,50.0,14.99
103,Kati,81,ML,1576616924,18,12.75,12.75,82.4,6.93
104,Xuddur,0,SO,1576616924,42,4.12,4.12,75.51,11.27
105,Grand Gaube,20,MU,1576616924,88,-20.01,-20.01,79.0,6.93
106,Bonavista,100,CA,1576616925,66,48.65,48.65,28.99,23.0
107,Nishihara,75,JP,1576616925,93,35.74,35.74,48.2,4.7
108,Barrow,33,AR,1576616925,10,-38.31,-38.31,87.87,5.73
109,Grabovo,0,HR,1576616925,87,45.28,45.28,44.6,5.82
110,Owando,84,CG,1576616925,77,-0.49,-0.49,77.38,1.39
111,Algiers,90,US,1576616925,75,29.94,29.94,48.2,17.22
112,Leh,44,IN,1576616926,30,34.16,34.16,1.08,0.63
113,Payo,100,ID,1576616926,92,-3.75,-3.75,67.26,2.53
114,Martapura,86,ID,1576616926,93,-3.41,-3.41,73.06,1.52
115,Nantucket,90,US,1576616926,100,41.28,41.28,43.0,16.11
116,Saskylakh,100,RU,1576616926,97,71.97,71.97,-14.04,6.62
117,Alice Springs,100,AU,1576616635,14,-23.7,-23.7,75.2,1.12
118,Loandjili,40,CG,1576616926,100,-4.77,-4.77,77.0,3.36
119,Blagoyevo,100,RU,1576616927,97,63.37,63.37,23.63,3.18
120,Port Macquarie,15,AU,1576616861,93,-31.43,-31.43,73.0,3.62
121,Berlevag,75,NO,1576616927,92,70.86,70.86,30.2,5.82
122,San Quintin,0,PH,1576616927,72,17.54,17.54,65.89,4.47
123,Taonan,0,CN,1576616948,75,45.34,45.34,1.26,6.51
124,Port Alfred,66,ZA,1576616948,83,-33.59,-33.59,66.99,13.0
125,Chokurdakh,100,RU,1576616949,98,70.62,70.62,-17.77,6.53
126,Tessalit,37,ML,1576616949,8,20.2,20.2,64.71,3.65
127,Hilo,75,US,1576616800,65,19.71,19.71,80.6,4.7
128,Salalah,75,OM,1576616949,69,17.01,17.01,78.8,4.7
129,Codrington,92,AU,1576616949,88,-28.95,-28.95,66.2,5.14
130,Hofn,99,IS,1576616949,66,64.25,64.25,38.26,29.93
131,Bethel,20,US,1576616949,92,60.79,60.79,15.8,12.75
132,Klaksvik,0,FO,1576616950,80,62.23,62.23,35.6,1.12
